TOTAL
35
31
47
34
44
35
31
49
40
48
42
43
32
41
42
49
37
37
38
43
41
31
21
38
30
41
41
34
46
40
47
36
43
41
46
44
40
39
37
41
30
46
30
41
44
35
36
40
40
30
50
52
43
46
34
33
42
41
31
46
41
46
34
36
33
38
26
29
46
25
40
38
39
34
39
42
53
44
49
37
36
36
51
33
36
43
41
24
50
29
40
36
50
29
37
34
42
45
34
40
37
37
47
31
33
50
28
37
33
44
40
38
40
31
44
37
44
47
25
34
32
41
38
34
38
39
41
34
29
44
22
40
34
48
39
32
43
40
40
33
31
35
33
27
44
47
52
40
53
40
40
48
31
42
49
43
35
31
36
42
34
31
30
28
38
47
32
47
31
41
40
33
35
42
49
55
51
37
53
29
33
46
36
32
33
20
33
42
32
35
41
35
39
40
40
36
35
28
33
42
29
30
39
34
30
46
30
37
31
37
41
47
45
29
45
33
51
33
38
28
42
32
45
36
39
43
32
37
43
34
40
27
35
24
39
39
35
36
39
47
27
28
50
53
36
44
38
33
51
43
38
38
36
40
36
40
31
39
37
38
46
28
32
37
29
26
25
52
36
24
28
30
35
45
41
41
31
31
45
53
45
31
34
32
33
30
33
32
30
50
37
35
55
38
28
23
36
22
24
28
25
33
58
31
47
43
49
32
44
46
29
30
40
46
40
44
33
43
36
36
46
44
45
46
45
41
26
44
36
61
50
36
25
36
29
40
38
31
37
52
34
38
21
36
43
33
18
31
30
49
46
45
43
44
45
